M5#, time(ms), gX (deg/s), gY (deg/s), gZ (deg/s), aX (g), aY (g), aZ (g), pitch (deg), roll (deg), yaw (deg)
f,52,130.45,-523.18,225.77,0.463,-0.351,0.184,127.1,12,58.6
f,48,125.45,-343.74,77.64,-0.177,-0.426,0.14,118.8,6,55.5
f,50,19.06,-107.29,-26.12,0.265,-0.081,0.156,114,3.7,50.5
f,50,-170.76,-63.1,-91.98,0.08,-0.114,0.489,101,-6,50.1
f,50,-289.53,69.29,-150.39,0.214,0.045,0.207,97.5,-20.5,42.6
f,51,-316.27,141.86,-166.13,0.572,0.063,-0.462,84.4,-30.4,23.2
f,49,-218.85,127.82,-89.78,1.314,-0.087,-1.844,78.1,-41.1,18.8
f,50,32.86,40.6,21.24,1.275,-0.324,-2.234,76.1,-39.5,19.8
f,51,210.53,-89.04,89.42,0.866,-0.34,-1.544,80.6,-28.8,24.4
f,52,310.75,-126.39,122.68,0.474,-0.449,-0.731,78.4,-14.8,18.9
f,49,316.24,-104.24,110.78,0.246,-0.658,-0.17,74,-9.2,18.7
f,54,264.54,-14.88,97.78,0.33,-0.895,0.098,66.6,-6.1,21.2
f,48,135.39,16.86,91.8,0.314,-1.146,0.359,58.1,-9.7,24.3
f,49,-62.66,37.3,102.42,0.215,-1.124,0.305,49.4,-21.6,27.2
f,52,-205.18,76.98,94.24,0.166,-0.582,0.045,41,-38.5,27.9
f,48,-227.22,21.56,71.35,0.17,0.111,-0.662,36.1,-40.6,15.7
f,52,-71.51,-15.25,48.4,-0.176,0.427,-1.122,30.1,-34.6,5.3
f,48,70.76,8.43,-7.93,-0.295,0.178,-0.953,22.7,-25,-6.3
f,50,142.23,4.04,-49.62,0.113,-0.324,-0.649,20.4,-19.1,-16.8
f,50,162.92,-27.82,-82.58,0.107,-0.687,-0.279,19.8,-19.3,-21.1
f,53,165.06,-41.61,-109.68,0.143,-1.109,0.024,19.8,-21.4,-22.7
f,52,134.72,-41,-111.08,0.264,-1.407,0.453,21.9,-14.4,-28.4
f,46,32.55,-19.95,-64.94,0.247,-1.711,0.589,22.8,-12.9,-31.4
f,52,-97.94,76.43,9.59,0.148,-1.516,0.567,18.9,-17.9,-30.9
f,48,-223.43,110.61,49.14,0.384,-1.068,0.19,14.5,-34.6,-22.9
f,50,-265.55,95.47,66.65,0.453,-0.596,-0.316,13.3,-47.8,-20
f,50,-191.51,87.96,88.57,0.403,-0.222,-0.76,11.6,-50.9,-22.1
f,50,-107.22,51.1,56.64,0.04,-0.019,-0.91,8.1,-48,-29.4
f,55,-43.44,74.96,-2.19,0.174,-0.167,-0.785,5.2,-44.6,-36.1
f,45,-22.99,92.54,-53.1,0.182,-0.215,-0.738,2.9,-41.2,-43.1
f,50,-13.59,133.98,-82.88,0.521,-0.364,-0.623,2.1,-39.2,-46.8
f,50,-5.96,175.49,-108.7,0.555,-0.367,-0.424,1.1,-37.7,-49.3
f,50,-23.24,200.21,-137.63,0.798,-0.471,-0.113,1.2,-37.6,-48.8
f,50,-38.01,183.06,-159.85,0.925,-0.435,-0.048,2.9,-37.3,-48.7
f,50,-39.41,239.15,-163.63,0.994,-0.314,0.163,2.9,-36,-47
f,50,-43.93,206.25,-120.78,1.494,-0.285,0.108,5.5,-34.1,-44.5
f,50,-39.84,144.42,-68.54,1.342,-0.271,0.015,10.3,-32.4,-40.6
f,52,-40.69,85.03,-40.58,1.149,-0.055,0.028,18,-29.7,-36.1
f,48,-19.45,88.51,-27.4,1.157,0.128,-0.106,24,-25.1,-32.6
f,51,45.86,22.35,16.06,1.112,0.041,0.359,30.2,-19.1,-24.3
f,51,8.75,-25.38,5.25,0.796,0.008,0.382,36.4,-15.8,-16.6
f,49,3.38,2.09,2.38,0.968,0.054,0.35,41.4,-12.8,-11
f,49,2.83,-3.28,2.75,0.92,0.057,0.38,45.4,-10.3,-5.9
f,52,-0.59,-0.6,-0.67,0.904,0.054,0.393,48.6,-8.3,-1.5
f,48,-5.17,-1.21,-2.86,0.943,0.058,0.403,51.3,-6.8,2.1
f,50,-7.79,-0.6,-4.02,0.935,0.063,0.37,53.9,-5.5,4.8
f,50,-8.04,-5.79,-2.44,0.912,0.056,0.411,55.9,-4.6,7.6
f,50,-6.7,1.11,-1.71,0.913,0.084,0.409,57.3,-3.4,10
Next Letter: g,,,,,,,,,,
g,51,-0.59,1.11,-1.09,0.912,0.089,0.398,65.9,4.8,23.1
g,51,-1.14,-1.33,-0.79,0.928,0.103,0.4,65.9,4.9,23.1
g,50,-1.32,-0.05,-1.95,0.938,0.099,0.37,66.2,5,22.8
g,52,-4.99,-4.02,-2.68,0.971,0.086,0.331,67.1,4.7,22
g,90,-6.02,-11.65,5.5,1.199,-0.013,0.149,70.3,3.5,20.2
g,11,-6.15,-62.37,52.07,1.53,-0.158,0.063,72.9,2,18
g,47,3.38,-91.3,121.52,1.527,-0.37,0.035,77.1,-0.2,20.4
g,50,-5.84,-234.18,172.61,1.634,-0.445,0.157,88.8,-0.5,29
g,50,-13.35,-364.18,183.23,1.612,-0.425,0.053,107,-1.2,38.2
g,50,-23.54,-445.54,161.81,1.317,-0.445,-0.108,120.5,-4.8,38.6
g,50,-18.6,-445.97,108.77,0.75,-0.198,-0.347,130.7,-6.9,33.9
g,51,-11.39,-456.41,47.55,0.236,0.221,-0.655,133.7,-3.7,21.3
g,51,47.32,-287.28,-15.87,-0.314,0.504,-0.548,122.7,4.7,11
g,50,82.42,-174.73,-118.4,-0.242,0.398,-0.351,108,14,-1.2
g,50,72.65,-95.14,-156.92,-0.019,0.065,-0.043,112.8,17.6,-9.1
g,50,5.94,-44.67,-176.39,-0.025,-0.122,0.047,115,17.9,-17.9
g,50,-76.7,3.31,-190.24,0.25,-0.461,-0.069,101.8,2.8,-24.4
g,50,-126.39,65.75,-187.01,0.522,-0.822,-0.175,88.5,-11.4,-30.2
g,50,-181.87,95.1,-140.32,0.766,-0.798,-0.405,77.3,-23.8,-34.7
g,50,-213.48,134.53,-39.42,0.931,-1.076,-0.706,70.6,-34.5,-36.6
g,50,-193.52,129.59,65.37,0.885,-0.893,-1.14,64.1,-44.1,-33.4
g,50,-161.48,68.37,155.22,0.742,-0.42,-1.489,60.7,-52.2,-25.6
g,51,-75.54,39.99,179.63,0.633,-0.231,-1.383,58.6,-56.1,-16.5
g,50,2.89,-8.96,171.21,0.41,0.122,-1.428,52.6,-46.8,-17.7
g,51,117.76,-37.59,112.86,0.305,0.384,-1.25,48.3,-32.2,-20.5
g,50,195.64,-33.07,49.69,0.251,0.333,-0.867,44.7,-16,-24.9
g,51,189.29,-49.91,3.18,0.278,-0.054,-0.55,44.2,-6.2,-30.5
g,50,157.79,-47.9,-25.2,0.29,-0.615,-0.294,43.1,-7,-30.5
g,50,113.48,-25.62,-28.87,0.291,-0.953,-0.055,40.2,-12,-27.6
g,50,51.9,0.2,0.19,0.276,-1.208,0.025,36.1,-19.6,-23.3
g,51,-19.76,55.49,37.66,0.287,-1.168,-0.03,30.4,-28.9,-18.4
g,50,-44.29,70.51,64.33,0.391,-0.97,-0.217,26,-36.2,-14.6
g,50,-73.89,85.71,72.21,0.254,-0.85,-0.316,20.8,-43.6,-12.3
g,50,-113.63,75.39,45.54,0.234,-0.592,-0.597,16.8,-48.3,-15
g,50,-85.98,60.19,31.99,0.359,-0.341,-0.885,14.9,-47.7,-20.5
g,50,-35.32,11.12,17.09,0.335,-0.115,-0.907,15.2,-43,-27
g,51,-4.07,-4.69,-10.19,0.215,-0.181,-0.751,15.4,-38.7,-33.8
g,49,1.18,50.67,-46.99,0.216,-0.162,-0.528,14.2,-35.2,-40.1
g,51,-11.09,151.2,-76.96,0.433,-0.322,-0.458,11.2,-34.5,-43.5
g,49,-23.36,277.6,-118.83,0.468,-0.32,-0.168,5.8,-35.2,-44.4
g,51,-24.88,273.08,-174.62,0.89,-0.406,0.156,2.7,-34.6,-44
g,49,-24.09,172.62,-221.13,1.096,-0.409,0.235,5.1,-33.4,-44.9
g,50,-27.26,182.75,-190.85,1.332,-0.503,0.334,-4,-34.8,-54.4
g,50,-52.59,139.48,-136.17,1.277,-0.356,0.251,1.3,-34.1,-50.4
g,51,-55.52,128.67,-82.76,1.374,-0.028,0.016,8.8,-31.6,-46.4
g,50,-24.7,52.38,-34.66,1.291,-0.002,0.061,18.4,-27.9,-40.5
g,51,50.07,29,8,1.149,0.107,-0.077,26.9,-20.7,-34.6
g,50,34.26,-5.85,18.07,1.009,0.032,0.368,33.6,-15.9,-25.7
g,54,4.29,-6.76,4.89,0.94,0.111,0.284,39.7,-12.4,-19.1
g,47,-2.48,-5.66,-1.83,0.963,0.131,0.319,44.5,-9.5,-13.6
g,51,-4.31,-12.44,-5.25,0.922,0.127,0.358,48.5,-7.2,-8.6
g,49,-6.39,-4.93,-5.98,0.932,0.113,0.369,51.5,-5.4,-4.3
g,50,-5.72,-0.78,-4.02,0.907,0.095,0.353,54.1,-4,-0.7
g,50,-6.27,-0.11,-2.38,0.915,0.129,0.369,56,-2.5,2.6
g,52,-5.96,-0.72,-1.89,0.926,0.151,0.351,57.8,-1.1,5.2
g,49,-0.47,0.87,-1.09,0.936,0.142,0.36,59.2,0.2,7.5
g,51,-0.53,-1.09,-1.46,0.924,0.148,0.341,60.6,1.5,9.3
g,51,2.28,0.26,-1.03,0.936,0.157,0.356,61.6,2.7,10.9
g,50,4.23,1.05,-0.18,0.911,0.139,0.346,62.5,3.7,12.4
g,51,4.66,-0.35,1.04,0.938,0.134,0.353,63.3,4.5,13.6
Next Letter: h,,,,,,,,,,
h,52,-1.39,-16.28,0.55,0.963,0.181,0.267,66,0.7,10
h,50,4.35,-7.68,4.03,0.919,0.13,0.284,67.1,1.9,11.2
h,51,6.92,-23.18,9.22,1.088,0.159,0.274,69.1,3.1,12.1
h,56,17.29,-14.27,15.51,0.965,0.177,0.282,70.1,5,13.4
h,45,14.18,-5.85,17.03,0.815,0.147,0.255,70.3,6.2,14.6
h,50,10.33,1.17,8.73,0.784,0.146,0.22,70.4,7.3,15.1
h,51,23.82,11.36,13.68,1.146,0.165,0.079,71.5,8.4,14
h,50,73.02,-12.13,75.99,1.797,0.28,-0.293,72.1,12.1,17.8
h,66,131.06,-142.51,214.66,2.271,0.125,-0.192,81.5,20.7,32
h,34,112.63,-300.22,309.94,1.999,0.018,0.154,91.7,24.6,42.5
h,50,133.69,-451.46,320.68,1.112,0.054,0.26,108.6,27,51.7
h,51,183.67,-490.65,215.27,0.132,0,0.541,115.7,30.9,64.8
h,51,91.63,-276.42,24.17,-0.383,-0.077,0.406,103.9,29.1,63
h,51,-164.17,-88.18,-96.07,0.155,-0.219,0.782,93.7,15.3,60.1
h,51,-361.61,123.24,-177,-0.126,0.035,0.299,87.5,-3.2,51
h,50,-335.37,155.29,-170.59,1.192,0.128,-1.375,79.7,-19.9,42.5
h,50,-7.24,-16.59,-9.15,1.246,-0.384,-2.457,80.5,-20.3,42
h,50,298.6,-80.31,108.65,0.952,-0.603,-1.217,84.5,-5.4,47.5
h,50,346.27,-102.77,134.4,0.27,-0.622,-0.221,79.6,1,43.4
h,50,218.34,-23.36,148.14,0.254,-1.052,0.314,70.6,-0.2,45.6
h,50,-52.35,-2.61,134.28,-0.046,-1.028,0.095,59.7,-15,45.2
h,50,-203.84,100.17,113.47,0.085,-0.718,-0.2,47.5,-32.4,41
h,51,-144.57,31.99,130.07,0.234,-0.311,-1.566,45.9,-39.8,47.6
h,50,29.44,-55.71,132.63,0.013,-0.398,-1.404,41.4,-34.9,35
h,51,120.01,-108.81,83.62,-0.296,-0.653,-0.925,37.7,-29.6,25.5
h,55,116.11,-67.68,32.96,-0.281,-0.479,-0.33,31.4,-26.9,18.6
h,45,68.32,-33.5,2.69,-0.21,-0.193,-0.107,21.4,-26.1,12.8
h,50,-3.52,12.95,-18.61,-0.176,-0.108,0.155,20.7,-26.3,11.9
h,51,-108.07,33.15,-29.17,-0.111,-0.08,0.175,19.1,-31.8,10.4
h,50,-183.27,102.8,-38.02,0.059,-0.169,0.1,13.9,-41,8.5
h,50,-229.53,148.39,-47.18,0.167,-0.325,-0.439,8.1,-49.8,-2.3
h,50,-179.73,196.79,-43.21,0.083,-0.293,-1.713,-1.8,-58.8,-4.4
h,54,-25.56,148.57,-47.91,0.472,-0.289,-1.866,-9.8,-60.2,-7
h,46,56.23,55.25,-49.19,0.446,-0.352,-1.41,-12.3,-57.6,-9.3
h,55,91.08,71.42,-35.27,0.433,-0.289,-0.76,-9.6,-47.4,-17.9
h,48,47.87,84.24,-30.45,0.346,-0.332,-0.567,-7.5,-42.3,-23.9
h,47,29.25,217.05,-56.09,0.354,-0.321,-0.282,-9.1,-40.1,-27.2
h,50,21.01,313.85,-69.27,0.676,-0.42,0.019,-12.3,-38,-25.8
h,56,1.73,270.46,-111.81,0.759,-0.385,0.143,-14.1,-36.2,-25.8
h,46,-21.59,240.8,-127.86,1.183,-0.428,0.122,-11,-34.6,-26.1
h,51,-59.86,147.29,-122.8,1.34,-0.344,0.015,-4.4,-34.1,-27.4
h,50,-66.14,86.44,-84.22,1.423,0.022,0.018,5.9,-31.7,-26.8
h,53,-21.77,84.55,-45.89,1.089,0.029,0.058,14.2,-27.7,-24.4
h,49,1.12,57.02,-17.82,1.158,-0.031,0.294,21.1,-23.7,-19.3
h,51,12.53,34.74,-6.77,1.03,0.001,0.284,27.6,-19.6,-14.4
h,50,20.4,-12.32,13.31,0.924,-0.013,0.373,34.2,-15.9,-8.4
h,50,4.17,-3.04,13.86,0.907,0.027,0.384,39.2,-13.1,-3.1
h,50,6.55,-6.52,14.9,0.935,0.041,0.391,43.7,-10.5,1.4
h,50,13.63,3,10.62,0.923,0.019,0.414,46.9,-8.2,5.3
h,50,9.17,-2.55,8.79,0.959,-0.012,0.401,50.1,-6.7,8.2
h,52,2.64,-0.11,6.35,0.914,-0.028,0.346,52.9,-5.8,10.4
h,49,-2.24,-6.15,3.36,0.938,-0.001,0.371,55.5,-5,12.2
h,49,-2.24,-3.59,1.22,0.945,0.033,0.383,57.5,-4.1,13.7
h,51,-0.47,-2.12,-1.58,0.926,0.011,0.384,59.1,-3.4,15
h,52,2.28,0.07,-0.48,0.936,-0.015,0.366,60.5,-2.9,15.9
h,49,0.2,-3.04,0.98,0.929,-0.016,0.382,61.7,-2.6,16.9
h,49,-1.32,-1.82,-0.61,0.927,0.013,0.372,62.8,-2.2,17.6
h,53,-2,-1.7,-1.28,0.932,-0.012,0.379,63.6,-2,18.3
h,48,-3.34,-1.94,-1.03,0.924,-0.006,0.382,64.3,-1.9,18.9
h,50,-2.18,-1.15,0.49,0.93,-0.012,0.385,64.8,-1.8,19.4
Next Letter: i,,,,,,,,,,
i,51,-2,-0.17,-1.71,0.923,0,0.394,67.5,0,22.5
i,50,-0.77,-0.11,-3.17,0.936,0.006,0.394,67.4,0.1,22.4
i,51,-1.39,-1.21,-2.5,0.907,0.007,0.385,67.4,0,22.4
i,49,1.18,-0.84,-1.71,0.934,0.026,0.391,67.4,0.3,22.4
i,50,-1.39,-1.39,0.74,0.931,0.005,0.381,67.5,0.2,22.4
i,54,-0.29,6.54,4.83,0.901,-0.002,0.309,67.8,0.2,22.1
i,48,16.74,-42.35,11.72,1.392,-0.039,0.018,72.6,0.6,19.4
i,50,61.97,-96.79,98.45,1.86,-0.175,-0.182,77.4,3.7,24.3
i,49,63.62,-269.76,236.21,2.151,-0.24,0.102,90.6,6.8,35.9
i,54,53.61,-415.15,295.35,1.416,-0.307,0.093,107.7,6.4,44.6
i,50,92.73,-485.1,265.93,0.809,-0.386,-0.11,121.7,5.6,48.2
i,49,158.95,-407.34,168.52,0.102,-0.444,-0.115,122.3,0.7,45.8
i,52,136.68,-258.17,17.03,-0.221,-0.413,-0.031,111.1,-2.6,39.1
i,48,34.02,-98.99,-70.61,0.274,0.038,0.139,115.9,-0.9,35.8
i,48,-124.92,-19.34,-86.3,0.136,0.11,0.325,102.5,-3.3,36.1
i,50,-236,6.79,-109.37,0.252,0.09,0.196,94.3,-10.5,31.5
i,50,-304.79,76.79,-123.78,0.369,-0.378,-0.441,81.7,-26.8,15.5
i,50,-215.37,70.26,-103.21,0.601,-0.48,-1.881,78.2,-37.6,10.4
i,65,36.58,81.74,-21.42,1.011,-0.625,-2.157,72.9,-35.2,9
i,37,219.56,-42.96,47.92,0.54,-0.749,-1.412,74.5,-27.1,10.7
i,51,317.71,-52.48,74.04,0.316,-0.749,-0.591,68.4,-16.5,6.9
i,48,313.56,-64.14,83.32,0.171,-0.96,-0.157,62.2,-12.7,7.9
i,50,233.6,6.36,81.06,0.195,-1.237,0.252,53.9,-12.2,11.9
i,51,66.18,17.96,98.76,0.205,-1.393,0.372,46.3,-18.4,16.6
i,51,-115.09,100.17,117.8,0.243,-0.987,0.324,37,-30.8,21.9
i,51,-256.08,40.54,99.98,0.179,-0.287,-0.021,34.9,-43.9,27
i,50,-177.29,-19.64,79.53,0.043,0.344,-0.743,30.9,-41.1,16.6
i,52,-2.79,-20.86,25.58,-0.484,0.401,-0.758,22.8,-31.5,7.7
i,50,78.14,17.35,-36.98,-0.166,0.009,-0.571,16.2,-23.3,-6.1
i,50,96.82,11.67,-89.84,0.034,-0.319,-0.38,13.9,-21.7,-16.5
i,50,91.33,-3.83,-161.19,0.214,-0.768,-0.229,14.2,-24.7,-23.3
i,57,99.57,-0.11,-188.53,0.307,-1.32,-0.06,14,-27.7,-29.3
i,44,107.32,-8.65,-196.29,0.474,-1.372,0.177,14.4,-23,-37.9
i,51,18.45,-13.35,-129.82,0.572,-1.693,0.48,15.1,-22,-44.6
i,49,-125.84,71.73,-26.36,0.677,-1.605,0.32,11.6,-28.2,-45.9
i,50,-238.2,78.87,59.39,0.751,-1.016,0.072,12,-42.1,-36
i,51,-293.62,71.06,98.21,0.635,-0.329,-0.429,14.5,-52,-31
i,50,-186.63,70.93,89.73,0.34,-0.043,-0.885,12.5,-52.5,-32.8
i,51,-57.54,12.77,12.94,0.184,-0.033,-0.904,11.8,-47.4,-39.1
i,50,12.16,56.96,-56.39,0.355,-0.154,-0.607,12,-41.7,-44.2
i,51,23.58,174.51,-86.3,0.563,-0.373,-0.435,9.3,-38.5,-46.3
i,50,-1.08,250.07,-93.75,0.773,-0.496,-0.039,5.9,-37.7,-43.7
i,50,-39.04,222.97,-118.34,0.919,-0.515,0.129,4.5,-38.1,-41.1
i,50,-65.9,187.45,-137.33,0.89,-0.415,0.205,5.3,-38.8,-39
i,60,-66.33,157.79,-136.65,1.138,-0.267,0.106,7.8,-38.4,-39.4
i,40,-53.14,109.39,-111.08,1.204,-0.199,-0.003,15,-35.8,-37.2
i,50,-27.45,76.73,-75.37,1.192,-0.122,0.047,22,-32.5,-34.5
i,50,-19.02,33.64,-44.37,1.177,-0.005,0.176,29.5,-28.5,-30
i,70,-22.08,16.37,-21.91,1.14,0.048,0.157,36.4,-25.1,-25.6
i,31,-7.92,-0.05,-11.47,0.968,0.079,0.115,43.2,-20.9,-21
i,51,4.6,2.33,-0.48,0.959,0.046,0.334,47.2,-17.2,-15
i,50,2.64,-4.75,-1.16,0.944,0.057,0.355,50.7,-14,-9.7
i,51,4.9,-9.88,2.51,0.941,0.047,0.328,54.1,-11.3,-5.3
i,51,6.98,3.06,3.6,0.92,0.056,0.341,56.3,-8.8,-1.3
i,51,2.58,6.18,1.59,0.968,0.078,0.345,58.1,-6.7,1.9
i,51,-3.95,0.87,-0.91,0.948,0.092,0.311,60,-5.1,4.3
i,50,-3.95,-0.48,-3.84,0.943,0.081,0.312,61.7,-3.8,6.2
i,50,-4.13,-4.26,-2.56,0.95,0.068,0.334,63.1,-2.8,8.1
i,50,-2.06,-0.84,-2.8,0.917,0.083,0.316,64.3,-1.8,9.6
i,51,3.01,6.3,-1.28,0.929,0.084,0.339,64.8,-0.6,11.1
Next Letter: j,,,,,,,,,,
j,50,-3.34,-2.12,-1.09,0.953,0.094,0.345,69.5,4.4,18.8
j,52,-4.44,0.56,-2.93,0.936,0.106,0.327,69.5,4.4,18.7
j,49,-4.13,-2.06,-2.07,0.932,0.058,0.331,69.7,4.1,18.7
j,52,-8.34,-5.24,-1.52,0.957,0.098,0.323,70.1,4,18.6
j,49,-8.65,-5.66,-1.34,0.945,0.083,0.334,70.3,3.7,18.7
j,53,-15.36,-5.97,-1.83,0.951,0.08,0.303,70.8,3.2,18.4
j,48,-17.44,18.44,11.11,1.103,0.028,0.13,71.9,2.2,17.1
j,52,7.65,-34.11,75.75,1.866,-0.053,-0.203,73.7,2.6,21.1
j,48,45.98,-189.2,215.58,2.001,-0.154,-0.03,82.7,4.8,31.4
j,53,40.36,-284.47,291.14,1.676,-0.269,0.13,97.8,6.9,46.9
j,48,48.91,-433.64,298.34,1.198,-0.303,0.225,111.7,5.8,53.5
j,54,95.72,-434.38,234.32,0.395,-0.348,0.065,122.1,3.2,57.3
j,47,125.75,-312.55,110.6,-0.199,-0.329,0.107,111.8,-0.6,55.5
j,53,68.99,-109.61,-4.94,-0.011,-0.201,0.13,117.6,3,55.2
j,49,-72.43,16.92,-40.46,0.347,-0.107,0.275,106.7,-2.5,50.8
j,55,-212.38,58.36,-74.4,0.191,-0.011,0.283,103.5,-14.2,46.7
j,46,-323.59,128.31,-118.53,0.307,-0.088,-0.058,97.6,-29,41.3
j,57,-309.43,143.14,-148.49,0.304,0.292,-1.257,78,-37.8,17.2
j,43,-176.07,44.08,-168.58,0.81,0.429,-2.063,76.1,-45.3,9.9
j,56,81.62,32.18,-136.96,1.158,0.057,-2.04,74.3,-40.8,2.2
j,46,230.12,-118.03,-70.37,0.857,-0.264,-1.414,79.7,-30.2,-1
j,50,310.63,-98.44,6.9,0.696,-0.454,-0.646,78.2,-16.3,-6.2
j,51,306.29,-89.53,61.95,0.271,-0.59,-0.226,73.8,-9.4,-5.5
j,50,277.55,-57.79,78.92,0.182,-0.832,-0.017,67,-7.9,-1.5
j,52,201.31,-15.98,76.79,-0.025,-1.038,0.023,57.5,-11,2.3
j,55,106.59,26.5,51.88,-0.007,-1.059,-0.035,47.6,-17.6,4.1
j,45,72.77,46.95,38.15,0.122,-1.039,-0.042,39.6,-24.6,4.6
j,50,52.02,70.02,34.37,0.212,-1.219,0.03,32.2,-30.7,5.6
j,51,-33.43,89.18,77.15,0.275,-1.238,0.062,25.4,-39.1,8.5
j,48,-137.13,119.15,102.05,0.135,-0.907,0.071,18,-50.9,12.1
j,53,-192.61,55.37,81.85,0.042,-0.428,-0.376,13.4,-59.2,7.8
j,48,-142.01,44.45,70.68,0.036,-0.176,-0.672,10,-58.3,-1.8
j,51,-71.76,-6.27,49.69,-0.319,-0.06,-0.796,5.5,-53.3,-9.5
j,51,-0.04,11.43,-4.51,-0.395,-0.061,-0.725,-0.1,-45.9,-17.5
j,51,23.88,20.03,-42.23,-0.19,-0.396,-0.648,-3,-42.6,-25
j,50,23.7,37.67,-60.05,-0.058,-0.448,-0.569,-4.9,-40.9,-31.6
j,54,3.68,149.61,-61.21,0.015,-0.643,-0.403,-10.8,-43.3,-34.5
j,47,-23.42,234.75,-61.28,0.172,-0.705,-0.228,-16.6,-47.9,-34.4
j,50,-58.51,198.74,-85.26,0.384,-0.593,-0.166,-17.8,-51.4,-34.8
j,52,-71.39,186.9,-127.19,0.437,-0.632,-0.148,-18.3,-54.9,-36.9
j,48,-61.57,214.12,-161.5,0.623,-0.452,-0.207,-16.6,-54.4,-40.2
j,50,-44.6,263.13,-188.41,0.97,-0.341,0.078,-14.7,-51,-41.5
j,51,-38.49,222.61,-161.13,1.582,-0.164,0.257,-26.1,-53,-49.7
j,51,-60.83,202.77,-123.23,1.52,-0.225,0.373,-36.4,-56.1,-56
j,51,-71.94,221.2,-78.06,1.677,-0.121,0.004,-27.7,-51.4,-51
j,50,-44.72,105.91,-20.93,1.473,-0.091,-0.056,-15.1,-46.1,-44.5
j,51,72.28,79.05,37.97,1.432,-0.088,-0.037,-3.4,-36.6,-36.4
j,51,36.09,-28.61,18.19,0.92,-0.096,0.59,6.9,-30.3,-25.3
j,49,-10.24,-8.04,-8.91,0.849,-0.046,0.465,15.4,-26.6,-17.6
j,51,-2.73,1.97,-7.14,0.963,-0.043,0.416,23,-23.1,-11.7
j,50,-4.62,-11.28,-1.95,0.894,-0.037,0.44,29.6,-20.1,-6.1
j,50,-10.97,-3.34,-3.05,0.884,0,0.46,34.6,-17.6,-1.2
j,50,-11.76,-9.27,-4.39,0.933,0.013,0.45,39.5,-15.3,2.6
j,50,-10.3,-8.04,-1.77,0.879,0.03,0.453,43.3,-13.2,6.3
j,50,-5.35,-8.04,-1.95,0.891,0.016,0.466,46.5,-11.3,9.4
j,50,1.61,-1.82,1.16,0.895,0.005,0.452,49.1,-9.5,12
j,51,2.7,0.56,2.81,0.906,0.008,0.438,51.3,-7.9,14.2
j,50,4.96,0.56,3.36,0.93,0.01,0.412,53.5,-6.4,15.8
j,50,2.64,1.35,1.96,0.918,-0.008,0.412,55.3,-5.4,17.2
j,50,0.38,-0.48,0.8,0.936,0.005,0.419,56.9,-4.5,18.2
Next Letter: k,,,,,,,,,,
k,52,-3.09,-2.86,-0.24,0.927,0.011,0.439,64.5,-0.2,25
k,50,-2.12,0.74,-2.07,0.907,0.013,0.431,64.5,-0.1,24.9
k,52,-1.32,-0.6,-1.34,0.929,-0.003,0.438,64.6,-0.2,24.9
k,58,-3.64,-0.6,-1.16,0.912,0.005,0.423,64.7,-0.3,24.9
k,43,-3.89,-5.97,1.47,0.942,-0.01,0.42,65.1,-0.5,24.8
k,50,-4.44,-22.82,10.5,1.12,-0.022,0.173,68.5,-0.8,22.8
k,49,22.91,29.98,70.32,1.579,-0.163,-0.08,69.5,-0.6,21.9
k,49,23.94,-142.02,174.38,2.025,-0.253,0.218,76.4,0.6,30.4
k,51,12.23,-236.74,259.46,1.812,-0.304,0.451,88.5,1.2,43.7
k,50,-8.16,-364.31,282.17,1.195,-0.412,0.364,100.5,-2,51.5
k,50,24.31,-480.88,237.86,0.725,-0.5,0.225,113.8,-5.7,56.1
k,50,66.36,-426.2,151.86,-0.043,-0.57,0.04,114.2,-14.6,54.7
k,50,57.94,-215.81,15.2,-0.097,-0.316,0.116,103.8,-19.6,50.1
k,50,34.44,-132.19,-61.64,0.233,0.18,-0.007,110.4,-17.9,47
k,50,-77.31,-53.09,-91.43,0.029,-0.029,0.241,113.1,-21.8,42.4
k,50,-169.23,13.62,-137.33,0.099,-0.108,0.028,112.4,-30.2,35.5
k,50,-196.51,85.46,-155.09,0.343,-0.428,-0.428,96.3,-39.8,17.9
k,50,-147.08,102.25,-141.17,0.706,-0.859,-1.11,91.2,-47.1,10.9
k,50,-39.84,27.48,-48.21,1.053,-0.95,-1.773,89.8,-49.1,8.5
k,50,72.47,13.62,76.79,1.066,-1.128,-1.462,89.2,-45.5,12.3
k,50,108.54,-51.93,152.04,0.621,-0.968,-0.91,91.8,-40,19.9
k,50,92.55,-66.15,181.1,0.291,-0.79,-0.501,83.4,-38.2,20
k,50,50.01,-55.96,163.82,0.091,-0.563,-0.275,74.5,-39.7,20.1
k,50,-7.49,-35.82,104.68,-0.14,-0.365,-0.255,62.2,-41.8,16.6
k,50,-43.8,22.66,65.25,-0.034,-0.111,-0.384,51.2,-39.8,5.9
k,50,-77.01,10.08,-5.18,-0.191,0.104,-0.461,39.8,-35.3,-4.9
k,51,-23.3,10.27,-79.53,-0.047,0.074,-0.806,32.9,-30.3,-20.2
k,51,34.87,22.29,-119.38,0.191,-0.203,-0.74,29.1,-26.4,-32.8
k,51,101.83,-11.95,-137.2,0.451,-0.702,-0.746,28.8,-23.9,-40.1
k,50,166.83,19.48,-137.14,0.482,-1,-0.335,27.3,-22.2,-42.4
