M5#, time(ms), gX (deg/s), gY (deg/s), gZ (deg/s), aX (g), aY (g), aZ (g), pitch (deg), roll (deg), yaw (deg)
d,49,10.15,-119.62,-55.84,0.018,0.198,0.467,105.7,20,64.6
d,68,-190.35,-2.98,-124.94,0.049,0.075,0.464,90.9,7.4,59.5
d,33,-313.15,127.45,-176.14,0.162,0.03,0.177,86.7,-2.9,53.7
d,50,-355.45,229.57,-189.33,0.811,-0.077,-0.452,73,-18.3,33.3
d,50,-269.88,67.39,-94.84,1.563,0.222,-2.346,69.7,-31.8,28.5
d,49,72.35,111.46,8.24,1.173,-0.134,-2.754,64.2,-28.3,28.9
d,50,250.08,-149.77,84.54,1.144,-0.323,-1.604,71.7,-15.8,33.2
d,87,305.01,-117.42,141.48,0.883,-0.548,-0.692,81.9,10.8,45.5
d,65,244.77,-121.26,185,0.785,-0.628,-0.197,83.8,17,47.2
d,2,146.5,-39.29,199.1,0.434,-0.506,-0.034,77.4,7.3,40
d,56,10.76,30.65,183.41,0.189,-0.211,0.136,69.9,0.4,46.6
d,46,-94.65,40.84,149.91,0.011,-0.029,0.153,68,-4,53.5
d,45,-163.49,84.3,98.33,-0.173,0.105,0.113,64.2,-11.3,57.9
d,51,-212.63,142.65,33.57,-0.139,0.255,-0.218,45,-12.1,45.1
d,53,-214.28,198.8,-32.77,0.103,0.479,-0.556,30.5,-13.9,29.6
d,50,-150.37,162.37,-84.96,0.373,0.76,-1.229,22.4,-21.5,25.3
d,47,-38.49,174.69,-146.24,0.719,0.56,-1.606,14.2,-23.3,18.5
d,56,61.3,116.41,-184.02,0.98,0.169,-1.649,7.7,-19.8,8.2
d,44,137.1,29.74,-186.52,1.048,-0.246,-1.162,6.4,-13.8,0
d,50,161.27,-44.42,-158.57,0.855,-0.394,-0.811,8.6,-5.7,-8
d,50,137.1,-31.67,-90.94,0.823,-0.537,-0.502,15.9,-3.4,-14.7
d,53,105.61,45.48,-31.25,0.64,-0.412,-0.248,19.4,-2.8,-16.6
d,48,51.72,160.47,6.17,0.587,-0.432,-0.089,17.9,-5.7,-14.9
d,51,-25.98,217.24,9.71,0.593,-0.448,-0.068,13.7,-11.5,-13
d,49,-107.1,280.71,-14.22,0.759,-0.313,-0.063,10,-17.6,-12.3
d,49,-135.42,292.92,-64.57,0.857,-0.129,0.013,8.5,-21.9,-13
d,50,-151.96,207.78,-69.76,1.502,0.076,0.042,11.4,-24.6,-13.8
d,54,-136.03,145.64,-55.9,1.082,0.146,-0.098,15.1,-26,-15.1
d,46,-77.13,170.12,-52.73,1.1,0.22,-0.102,17.8,-23.4,-15.6
d,50,11,180.25,-44.31,1.114,0.178,-0.19,19,-18.1,-16.6
d,50,14.79,-13.29,-9.03,1.198,-0.038,0.475,27,-15,-11.3
d,50,-11.64,6.97,-11.96,0.868,0.006,0.448,32.1,-13.2,-6
d,50,-16.83,-6.34,-16.05,0.913,0.053,0.443,37.1,-11.5,-1.9
d,50,-15.79,2.15,-12.57,0.917,0.059,0.474,40.8,-9.9,1.9
d,50,-11.88,-1.33,-11.17,0.905,0.09,0.442,44.3,-8.2,5.1
d,50,-7,-4.14,-3.84,0.891,0.093,0.475,47,-6.5,8.3
d,50,-4.19,-9.02,-1.64,0.89,0.122,0.459,49.7,-4.6,11.1
d,50,0.45,-8.11,0,0.872,0.11,0.477,51.7,-3,13.7
d,57,3.01,-2,1.53,0.891,0.117,0.442,53.4,-1.4,15.6
d,43,5.39,2.7,0.61,0.94,0.099,0.46,54.8,-0.2,17.2
d,51,6.31,0.68,2.26,0.913,0.061,0.429,56.3,0.7,18.5
d,51,2.77,-5.48,1.59,0.927,0.103,0.432,57.7,1.5,19.5
Next Letter: e,,,,,,,,,,
e,51,-2.06,-3.1,-1.09,0.897,0.097,0.423,64.9,5.3,24.5
